,id,url,primaryTitle,originalTitle,trailer,contentRating,startYear,releaseDate,interests,spokenLanguages,budget,grossWorldwide,genres,runtimeMinutes,averageRating,numVotes,company_1,company_2,company_3
71,tt0119707,https://www.imdb.com/title/tt0119707/,Mortal Kombat: Annihilation,Mortal Kombat: Annihilation,https://www.youtube.com/watch?v=PvG9HPUPCLg,PG-13,1997,1997-11-21,"['Dark Fantasy', 'Martial Arts', 'Supernatural Fantasy', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",['en'],30000000.0,51376861.0,"['Action', 'Adventure', 'Fantasy']",95,3.6,59756,New Line Cinema,Threshold Entertainment,
72,tt0295254,https://www.imdb.com/title/tt0295254/,Feardotcom,Feardotcom,https://www.youtube.com/watch?v=gZDIWcAV93k,R,2002,2002-08-30,"['Crime', 'Horror', 'Thriller']",['en'],40000000.0,18902015.0,"['Crime', 'Horror', 'Thriller']",101,3.4,23329,MDP Worldwide,ApolloMedia Distribution,Fear.Com Productions Ltd.
73,tt4435072,https://www.imdb.com/title/tt4435072/,Liger,Liger,,,2022,2022-08-25,"['Martial Arts', 'Action', 'Drama', 'Romance', 'Sport']","['hi', 'te']",,4879486.0,"['Action', 'Drama', 'Romance']",140,2.6,48208,Bollywood Hollywood Production,Dharma Productions,Puri Connects
74,tt0118539,https://www.imdb.com/title/tt0118539/,3 Ninjas: High Noon at Mega Mountain,3 Ninjas: High Noon at Mega Mountain,https://www.youtube.com/watch?v=nkOfRFxgIX0,PG,1998,1998-06-18,"['Action', 'Adventure', 'Comedy', 'Family']",['en'],,375805.0,"['Action', 'Adventure', 'Comedy']",93,3.0,12696,Leeds/Ben-Ami Productions,Sheen Productions,TriStar Pictures
75,tt0115624,https://www.imdb.com/title/tt0115624/,Barb Wire,Barb Wire,https://www.youtube.com/watch?v=GWKo3pSdGpg,R,1996,1996-05-03,"['Superhero', 'Action', 'Sci-Fi']","['en', 'fr', 'de']",9000000.0,3793614.0,"['Action', 'Sci-Fi']",98,3.6,32273,Polygram Filmed Entertainment,Propaganda Films,Dark Horse Entertainment
76,tt0103923,https://www.imdb.com/title/tt0103923/,Captain America,Captain America,https://www.youtube.com/watch?v=cs8rFsmhNTc,PG-13,1990,1991-07-26,"['Superhero', 'Action', 'Adventure', 'Sci-Fi', 'War']",['en'],3000000.0,,"['Action', 'Adventure', 'Sci-Fi']",97,3.2,15647,21st Century Film Corporation,Marvel Enterprises,Marvel Entertainment Group
77,tt4667094,https://www.imdb.com/title/tt4667094/,Fifty Shades of Black,Fifty Shades of Black,https://www.youtube.com/watch?v=m5dM_MPytkU,R,2016,2016-01-29,"['Parody', 'Slapstick', 'Comedy']",['en'],5000000.0,22227514.0,['Comedy'],92,3.5,23991,Fermion Films,IM Global,Ingenious Media
78,tt1517489,https://www.imdb.com/title/tt1517489/,Spy Kids 4: All the Time in the World,Spy Kids: All the Time in the World,https://www.youtube.com/watch?v=yWWOrCE1MR8,PG,2011,2011-08-19,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",['en'],27000000.0,85564310.0,"['Action', 'Adventure', 'Comedy']",89,3.6,29579,Dimension Films,Troublemaker Studios,Spy Kids 4 SPV
79,tt0110647,https://www.imdb.com/title/tt0110647/,The NeverEnding Story III,Die unendliche Geschichte III: Rettung aus Phantasien,https://www.youtube.com/watch?v=hgs5CgnBJFs,G,1994,1996-02-02,"['Adventure', 'Comedy', 'Family', 'Fantasy']",['en'],17000000.0,,"['Adventure', 'Comedy', 'Family']",95,3.2,12848,Cinevox Filmproduktion GmbH,Bibo TV Studiobetriebs,Dieter Geissler Filmproduktion
80,tt10481868,https://www.imdb.com/title/tt10481868/,Black Christmas,Black Christmas,https://www.youtube.com/watch?v=gF4yRYbo1WE,PG-13,2019,2019-12-13,"['Conspiracy Thriller', 'Slasher Horror', 'Teen Horror', 'Horror', 'Mystery', 'Thriller']",['en'],5000000.0,18529730.0,"['Horror', 'Mystery', 'Thriller']",92,3.5,20772,Universal Pictures,Blumhouse Productions,Divide/Conquer
